Sintomas,Hospitalización,fecha,numero
Fiebre,SI,2020-06-15,6285.0
Odinofagia,SI,2020-06-15,4981.0
Anosmia,SI,2020-06-15,2757.0
Ageusia,SI,2020-06-15,2057.0
Disnea,SI,2020-06-15,1629.0
Diarrea,SI,2020-06-15,1230.0
Dolor torácico,SI,2020-06-15,934.0
Dolor abdominal,SI,2020-06-15,720.0
Taquipnea,SI,2020-06-15,600.0
Cianosis,SI,2020-06-15,316.0
Postración,SI,2020-06-15,
Congestión nasal,SI,2020-06-15,
Cefalea,NO,2020-06-19,130436.0
Tos,NO,2020-06-19,124642.0
Mialgia,NO,2020-06-19,124048.0
Fiebre,NO,2020-06-19,84973.0
Odinofagia,NO,2020-06-19,73432.0
Anosmia,NO,2020-06-19,38109.0
Ageusia,NO,2020-06-19,29971.0
Disnea,NO,2020-06-19,24607.0
Diarrea,NO,2020-06-19,21222.0
Dolor torácico,NO,2020-06-19,19516.0
Dolor abdominal,NO,2020-06-19,12594.0
Taquipnea,NO,2020-06-19,2459.0
Cianosis,NO,2020-06-19,229.0
Postración,NO,2020-06-19,
Congestión nasal,NO,2020-06-19,
Cefalea,SI,2020-06-19,5653.0
Tos,SI,2020-06-19,10501.0
Mialgia,SI,2020-06-19,7109.0
Fiebre,SI,2020-06-19,8523.0
Odinofagia,SI,2020-06-19,3054.0
Anosmia,SI,2020-06-19,828.0
Ageusia,SI,2020-06-19,697.0
Disnea,SI,2020-06-19,7109.0
Diarrea,SI,2020-06-19,1415.0
Dolor torácico,SI,2020-06-19,1864.0
Dolor abdominal,SI,2020-06-19,1058.0
Taquipnea,SI,2020-06-19,2379.0
Cianosis,SI,2020-06-19,380.0
Postración,SI,2020-06-19,
Congestión nasal,SI,2020-06-19,
Cefalea,NO,2020-06-23,144757.0
Tos,NO,2020-06-23,137903.0
Mialgia,NO,2020-06-23,137349.0
Fiebre,NO,2020-06-23,92704.0
Odinofagia,NO,2020-06-23,81315.0
Anosmia,NO,2020-06-23,42741.0
Ageusia,NO,2020-06-23,33609.0
Disnea,NO,2020-06-23,27654.0
Diarrea,NO,2020-06-23,23747.0
Dolor torácico,NO,2020-06-23,21982.0
Dolor abdominal,NO,2020-06-23,14121.0
Taquipnea,NO,2020-06-23,2789.0
Cianosis,NO,2020-06-23,269.0
Postración,NO,2020-06-23,
Congestión nasal,NO,2020-06-23,
Cefalea,SI,2020-06-23,5990.0
Tos,SI,2020-06-23,11214.0
Mialgia,SI,2020-06-23,7600.0
Fiebre,SI,2020-06-23,9084.0
Odinofagia,SI,2020-06-23,3215.0
Anosmia,SI,2020-06-23,877.0
Ageusia,SI,2020-06-23,744.0
Disnea,SI,2020-06-23,8192.0
Diarrea,SI,2020-06-23,1512.0
Dolor torácico,SI,2020-06-23,2006.0
Dolor abdominal,SI,2020-06-23,1160.0
Taquipnea,SI,2020-06-23,2547.0
Cianosis,SI,2020-06-23,409.0
Postración,SI,2020-06-23,
Congestión nasal,SI,2020-06-23,
Cefalea,NO,2020-06-28,159769.0
Tos,NO,2020-06-28,151693.0
Mialgia,NO,2020-06-28,151387.0
Fiebre,NO,2020-06-28,100374.0
Odinofagia,NO,2020-06-28,89124.0
Anosmia,NO,2020-06-28,47962.0
Ageusia,NO,2020-06-28,37750.0
Disnea,NO,2020-06-28,30639.0
Diarrea,NO,2020-06-28,26539.0
Dolor torácico,NO,2020-06-28,24463.0
Dolor abdominal,NO,2020-06-28,15692.0
Taquipnea,NO,2020-06-28,3024.0
Cianosis,NO,2020-06-28,292.0
Postración,NO,2020-06-28,
Congestión nasal,NO,2020-06-28,
Cefalea,SI,2020-06-28,6409.0
Tos,SI,2020-06-28,12027.0
Mialgia,SI,2020-06-28,8966.0
Fiebre,SI,2020-06-28,9708.0
Odinofagia,SI,2020-06-28,3366.0
Anosmia,SI,2020-06-28,971.0
Ageusia,SI,2020-06-28,821.0
Disnea,SI,2020-06-28,8151.0
Diarrea,SI,2020-06-28,1635.0
Dolor torácico,SI,2020-06-28,2181.0
Dolor abdominal,SI,2020-06-28,1274.0
Taquipnea,SI,2020-06-28,2767.0
Cianosis,SI,2020-06-28,442.0
Postración,SI,2020-06-28,
Congestión nasal,SI,2020-06-28,
Cefalea,NO,2020-07-01,165852.0
Tos,NO,2020-07-01,157279.0
Mialgia,NO,2020-07-01,157108.0
Fiebre,NO,2020-07-01,103604.0
Odinofagia,NO,2020-07-01,92404.0
Anosmia,NO,2020-07-01,50159.0
Ageusia,NO,2020-07-01,39509.0
Disnea,NO,2020-07-01,31978.0
Diarrea,NO,2020-07-01,27708.0
Dolor torácico,NO,2020-07-01,25530.0
Dolor abdominal,NO,2020-07-01,16406.0
Taquipnea,NO,2020-07-01,3155.0
Cianosis,NO,2020-07-01,304.0
Postración,NO,2020-07-01,
Congestión nasal,NO,2020-07-01,
Cefalea,SI,2020-07-01,6597.0
Tos,SI,2020-07-01,12411.0
Mialgia,SI,2020-07-01,8424.0
Fiebre,SI,2020-07-01,9997.0
Odinofagia,SI,2020-07-01,3438.0
Anosmia,SI,2020-07-01,1013.0
Ageusia,SI,2020-07-01,846.0
Disnea,SI,2020-07-01,9321.0
Diarrea,SI,2020-07-01,1694.0
Dolor torácico,SI,2020-07-01,2283.0
Dolor abdominal,SI,2020-07-01,1317.0
Taquipnea,SI,2020-07-01,2895.0
Cianosis,SI,2020-07-01,475.0
Postración,SI,2020-07-01,
Congestión nasal,SI,2020-07-01,
Cefalea,NO,2020-07-05,175697.0
Tos,NO,2020-07-05,166166.0
Mialgia,NO,2020-07-05,166053.0
Fiebre,NO,2020-07-05,108473.0
Odinofagia,NO,2020-07-05,97597.0
Anosmia,NO,2020-07-05,53589.0
Ageusia,NO,2020-07-05,42318.0
Disnea,NO,2020-07-05,33833.0
Diarrea,NO,2020-07-05,29777.0
Dolor torácico,NO,2020-07-05,27176.0
Dolor abdominal,NO,2020-07-05,17502.0
Taquipnea,NO,2020-07-05,3342.0
Cianosis,NO,2020-07-05,317.0
Postración,NO,2020-07-05,
Congestión nasal,NO,2020-07-05,
Cefalea,SI,2020-07-05,6887.0
Tos,SI,2020-07-05,9797.0
Mialgia,SI,2020-07-05,12981.0
Fiebre,SI,2020-07-05,10408.0
Odinofagia,SI,2020-07-05,3561.0
Anosmia,SI,2020-07-05,1057.0
Ageusia,SI,2020-07-05,893.0
Disnea,SI,2020-07-05,9797.0
Diarrea,SI,2020-07-05,1785.0
Dolor torácico,SI,2020-07-05,2416.0
Dolor abdominal,SI,2020-07-05,1398.0
Taquipnea,SI,2020-07-05,3040.0
Cianosis,SI,2020-07-05,502.0
Postración,SI,2020-07-05,
Congestión nasal,SI,2020-07-05,
Cefalea,NO,2020-07-10,184812.0
Tos,NO,2020-07-10,174011.0
Mialgia,NO,2020-07-10,174173.0
Fiebre,NO,2020-07-10,112884.0
Odinofagia,NO,2020-07-10,102448.0
Anosmia,NO,2020-07-10,56837.0
Ageusia,NO,2020-07-10,44984.0
Disnea,NO,2020-07-10,35565.0
Diarrea,NO,2020-07-10,31613.0
Dolor torácico,NO,2020-07-10,28689.0
Dolor abdominal,NO,2020-07-10,18601.0
Taquipnea,NO,2020-07-10,3534.0
Cianosis,NO,2020-07-10,334.0
Postración,NO,2020-07-10,
Congestión nasal,NO,2020-07-10,
Cefalea,SI,2020-07-10,7250.0
Tos,SI,2020-07-10,13639.0
Mialgia,SI,2020-07-10,9238.0
Fiebre,SI,2020-07-10,10879.0
Odinofagia,SI,2020-07-10,3725.0
Anosmia,SI,2020-07-10,1130.0
Ageusia,SI,2020-07-10,951.0
Disnea,SI,2020-07-10,10352.0
Diarrea,SI,2020-07-10,1889.0
Dolor torácico,SI,2020-07-10,2595.0
Dolor abdominal,SI,2020-07-10,1499.0
Taquipnea,SI,2020-07-10,3225.0
Cianosis,SI,2020-07-10,532.0
Postración,SI,2020-07-10,
Congestión nasal,SI,2020-07-10,
Cefalea,NO,2020-07-13,190147.0
Tos,NO,2020-07-13,178583.0
Mialgia,NO,2020-07-13,178872.0
Fiebre,NO,2020-07-13,115332.0
Odinofagia,NO,2020-07-13,105254.0
Anosmia,NO,2020-07-13,58809.0
Ageusia,NO,2020-07-13,46592.0
Disnea,NO,2020-07-13,36522.0
Diarrea,NO,2020-07-13,32570.0
Dolor torácico,NO,2020-07-13,29517.0
Dolor abdominal,NO,2020-07-13,19172.0
Taquipnea,NO,2020-07-13,3623.0
Cianosis,NO,2020-07-13,341.0
Postración,NO,2020-07-13,
Congestión nasal,NO,2020-07-13,
Cefalea,SI,2020-07-13,7522.0
Tos,SI,2020-07-13,14112.0
Mialgia,SI,2020-07-13,9582.0
Fiebre,SI,2020-07-13,11213.0
Odinofagia,SI,2020-07-13,3851.0
Anosmia,SI,2020-07-13,1193.0
Ageusia,SI,2020-07-13,1008.0
Disnea,SI,2020-07-13,10761.0
Diarrea,SI,2020-07-13,1988.0
Dolor torácico,SI,2020-07-13,2674.0
Dolor abdominal,SI,2020-07-13,1567.0
Taquipnea,SI,2020-07-13,3335.0
Cianosis,SI,2020-07-13,555.0
Postración,SI,2020-07-13,
Congestión nasal,SI,2020-07-13,
Cefalea,NO,2020-07-17,195376.0
Tos,NO,2020-07-17,183196.0
Mialgia,NO,2020-07-17,183569.0
Fiebre,NO,2020-07-17,117889.0
Odinofagia,NO,2020-07-17,108064.0
Anosmia,NO,2020-07-17,60617.0
Ageusia,NO,2020-07-17,48015.0
Disnea,NO,2020-07-17,37543.0
Diarrea,NO,2020-07-17,33528.0
Dolor torácico,NO,2020-07-17,30311.0
Dolor abdominal,NO,2020-07-17,19769.0
Taquipnea,NO,2020-07-17,3731.0
Cianosis,NO,2020-07-17,342.0
Postración,NO,2020-07-17,
Congestión nasal,NO,2020-07-17,
Cefalea,SI,2020-07-17,7727.0
Tos,SI,2020-07-17,14507.0
Mialgia,SI,2020-07-17,9840.0
Fiebre,SI,2020-07-17,11482.0
Odinofagia,SI,2020-07-17,3961.0
Anosmia,SI,2020-07-17,1231.0
Ageusia,SI,2020-07-17,1045.0
Disnea,SI,2020-07-17,11056.0
Diarrea,SI,2020-07-17,2054.0
Dolor torácico,SI,2020-07-17,2761.0
Dolor abdominal,SI,2020-07-17,1617.0
Taquipnea,SI,2020-07-17,3427.0
Cianosis,SI,2020-07-17,568.0
Postración,SI,2020-07-17,
Congestión nasal,SI,2020-07-17,
Cefalea,NO,2020-07-24,202844.0
Tos,NO,2020-07-24,189662.0
Mialgia,NO,2020-07-24,190252.0
Fiebre,NO,2020-07-24,121559.0
Odinofagia,NO,2020-07-24,112279.0
Anosmia,NO,2020-07-24,63190.0
Ageusia,NO,2020-07-24,50112.0
Disnea,NO,2020-07-24,38835.0
Diarrea,NO,2020-07-24,34821.0
Dolor torácico,NO,2020-07-24,31369.0
Dolor abdominal,NO,2020-07-24,20577.0
Taquipnea,NO,2020-07-24,3842.0
Cianosis,NO,2020-07-24,351.0
Postración,NO,2020-07-24,
Congestión nasal,NO,2020-07-24,
Cefalea,SI,2020-07-24,8208.0
Tos,SI,2020-07-24,15361.0
Mialgia,SI,2020-07-24,10431.0
Fiebre,SI,2020-07-24,12120.0
Odinofagia,SI,2020-07-24,4171.0
Anosmia,SI,2020-07-24,1312.0
Ageusia,SI,2020-07-24,1122.0
Disnea,SI,2020-07-24,11708.0
Diarrea,SI,2020-07-24,2211.0
Dolor torácico,SI,2020-07-24,2950.0
Dolor abdominal,SI,2020-07-24,1737.0
Taquipnea,SI,2020-07-24,3625.0
Cianosis,SI,2020-07-24,607.0
Postración,SI,2020-07-24,
Congestión nasal,SI,2020-07-24,
Cefalea,NO,2020-07-27,205907.0
Tos,NO,2020-07-27,192243.0
Mialgia,NO,2020-07-27,192923.0
Fiebre,NO,2020-07-27,122994.0
Odinofagia,NO,2020-07-27,113994.0
Anosmia,NO,2020-07-27,64216.0
Ageusia,NO,2020-07-27,50921.0
Disnea,NO,2020-07-27,39297.0
Diarrea,NO,2020-07-27,35400.0
Dolor torácico,NO,2020-07-27,31785.0
Dolor abdominal,NO,2020-07-27,20911.0
Taquipnea,NO,2020-07-27,3872.0
Cianosis,NO,2020-07-27,348.0
Postración,NO,2020-07-27,
Congestión nasal,NO,2020-07-27,
Cefalea,SI,2020-07-27,8366.0
Tos,SI,2020-07-27,15673.0
Mialgia,SI,2020-07-27,10636.0
Fiebre,SI,2020-07-27,12347.0
Odinofagia,SI,2020-07-27,4242.0
Anosmia,SI,2020-07-27,1350.0
Ageusia,SI,2020-07-27,1153.0
Disnea,SI,2020-07-27,11957.0
Diarrea,SI,2020-07-27,2257.0
Dolor torácico,SI,2020-07-27,3004.0
Dolor abdominal,SI,2020-07-27,1774.0
Taquipnea,SI,2020-07-27,3682.0
Cianosis,SI,2020-07-27,621.0
Postración,SI,2020-07-27,
Congestión nasal,SI,2020-07-27,
Cefalea,NO,2020-07-31,209441.0
Tos,NO,2020-07-31,195214.0
Mialgia,NO,2020-07-31,196081.0
Fiebre,NO,2020-07-31,124709.0
Odinofagia,NO,2020-07-31,115922.0
Anosmia,NO,2020-07-31,65391.0
Ageusia,NO,2020-07-31,51857.0
Disnea,NO,2020-07-31,39853.0
Diarrea,NO,2020-07-31,35999.0
Dolor torácico,NO,2020-07-31,32231.0
Dolor abdominal,NO,2020-07-31,21278.0
Taquipnea,NO,2020-07-31,3926.0
Cianosis,NO,2020-07-31,347.0
Postración,NO,2020-07-31,
Congestión nasal,NO,2020-07-31,
Cefalea,SI,2020-07-31,8531.0
Tos,SI,2020-07-31,15994.0
Mialgia,SI,2020-07-31,10839.0
Fiebre,SI,2020-07-31,12559.0
Odinofagia,SI,2020-07-31,4313.0
Anosmia,SI,2020-07-31,1390.0
Ageusia,SI,2020-07-31,1185.0
Disnea,SI,2020-07-31,12216.0
Diarrea,SI,2020-07-31,2300.0
Dolor torácico,SI,2020-07-31,3079.0
Dolor abdominal,SI,2020-07-31,1806.0
Taquipnea,SI,2020-07-31,3757.0
Cianosis,SI,2020-07-31,634.0
Postración,SI,2020-07-31,
Congestión nasal,SI,2020-07-31,
Cefalea,NO,2020-08-03,212058.0
Tos,NO,2020-08-03,197480.0
Mialgia,NO,2020-08-03,198351.0
Fiebre,NO,2020-08-03,125961.0
Odinofagia,NO,2020-08-03,117404.0
Anosmia,NO,2020-08-03,66278.0
Ageusia,NO,2020-08-03,52557.0
Disnea,NO,2020-08-03,40249.0
Diarrea,NO,2020-08-03,36484.0
Dolor torácico,NO,2020-08-03,32570.0
Dolor abdominal,NO,2020-08-03,21570.0
Taquipnea,NO,2020-08-03,3950.0
Cianosis,NO,2020-08-03,352.0
Postración,NO,2020-08-03,
Congestión nasal,NO,2020-08-03,
Cefalea,SI,2020-08-03,8626.0
Tos,SI,2020-08-03,16209.0
Mialgia,SI,2020-08-03,10971.0
Fiebre,SI,2020-08-03,12695.0
Odinofagia,SI,2020-08-03,4350.0
Anosmia,SI,2020-08-03,1404.0
Ageusia,SI,2020-08-03,1203.0
Disnea,SI,2020-08-03,12379.0
Diarrea,SI,2020-08-03,2327.0
Dolor torácico,SI,2020-08-03,3122.0
Dolor abdominal,SI,2020-08-03,1828.0
Taquipnea,SI,2020-08-03,3792.0
Cianosis,SI,2020-08-03,644.0
Postración,SI,2020-08-03,
Congestión nasal,SI,2020-08-03,
Cefalea,NO,2020-08-07,216769.0
Tos,NO,2020-08-07,201107.0
Mialgia,NO,2020-08-07,202239.0
Fiebre,NO,2020-08-07,127978.0
Odinofagia,NO,2020-08-07,120014.0
Anosmia,NO,2020-08-07,67741.0
Ageusia,NO,2020-08-07,53759.0
Disnea,NO,2020-08-07,40750.0
Diarrea,NO,2020-08-07,37434.0
Dolor torácico,NO,2020-08-07,33082.0
Dolor abdominal,NO,2020-08-07,22136.0
Taquipnea,NO,2020-08-07,3974.0
Cianosis,NO,2020-08-07,349.0
Postración,NO,2020-08-07,
Congestión nasal,NO,2020-08-07,
Cefalea,SI,2020-08-07,8929.0
Tos,SI,2020-08-07,16800.0
Mialgia,SI,2020-08-07,11368.0
Fiebre,SI,2020-08-07,13077.0
Odinofagia,SI,2020-08-07,4503.0
Anosmia,SI,2020-08-07,1464.0
Ageusia,SI,2020-08-07,1252.0
Disnea,SI,2020-08-07,12764.0
Diarrea,SI,2020-08-07,2411.0
Dolor torácico,SI,2020-08-07,3232.0
Dolor abdominal,SI,2020-08-07,1892.0
Taquipnea,SI,2020-08-07,3902.0
Cianosis,SI,2020-08-07,662.0
Postración,SI,2020-08-07,
Congestión nasal,SI,2020-08-07,
Cefalea,NO,2020-08-10,219278.0
Tos,NO,2020-08-10,202620.0
Mialgia,NO,2020-08-10,204006.0
Fiebre,NO,2020-08-10,128539.0
Odinofagia,NO,2020-08-10,121484.0
Anosmia,NO,2020-08-10,68628.0
Ageusia,NO,2020-08-10,54416.0
Disnea,NO,2020-08-10,40713.0
Diarrea,NO,2020-08-10,37904.0
Dolor torácico,NO,2020-08-10,33309.0
Dolor abdominal,NO,2020-08-10,22379.0
Taquipnea,NO,2020-08-10,3903.0
Cianosis,NO,2020-08-10,340.0
Postración,NO,2020-08-10,
Congestión nasal,NO,2020-08-10,
Cefalea,SI,2020-08-10,9991.0
Tos,SI,2020-08-10,18315.0
Mialgia,SI,2020-08-10,12635.0
Fiebre,SI,2020-08-10,14182.0
Odinofagia,SI,2020-08-10,5001.0
Anosmia,SI,2020-08-10,1662.0
Ageusia,SI,2020-08-10,1441.0
Disnea,SI,2020-08-10,13438.0
Diarrea,SI,2020-08-10,2620.0
Dolor torácico,SI,2020-08-10,3498.0
Dolor abdominal,SI,2020-08-10,2051.0
Taquipnea,SI,2020-08-10,4071.0
Cianosis,SI,2020-08-10,681.0
Postración,SI,2020-08-10,
Congestión nasal,SI,2020-08-10,
Cefalea,NO,2020-08-14,222351.0
Tos,NO,2020-08-14,204541.0
Mialgia,NO,2020-08-14,206216.0
Fiebre,NO,2020-08-14,129465.0
Odinofagia,NO,2020-08-14,123380.0
Anosmia,NO,2020-08-14,69739.0
Ageusia,NO,2020-08-14,55331.0
Disnea,NO,2020-08-14,40588.0
Diarrea,NO,2020-08-14,38428.0
Dolor torácico,NO,2020-08-14,33549.0
Dolor abdominal,NO,2020-08-14,22727.0
Taquipnea,NO,2020-08-14,3800.0
Cianosis,NO,2020-08-14,329.0
Postración,NO,2020-08-14,
Congestión nasal,NO,2020-08-14,
Cefalea,SI,2020-08-14,11389.0
Tos,SI,2020-08-14,20282.0
Mialgia,SI,2020-08-14,14258.0
Fiebre,SI,2020-08-14,15529.0
Odinofagia,SI,2020-08-14,5700.0
Anosmia,SI,2020-08-14,1905.0
Ageusia,SI,2020-08-14,1645.0
Disnea,SI,2020-08-14,14374.0
Diarrea,SI,2020-08-14,2926.0
Dolor torácico,SI,2020-08-14,3840.0
Dolor abdominal,SI,2020-08-14,2268.0
Taquipnea,SI,2020-08-14,4282.0
Cianosis,SI,2020-08-14,705.0
Postración,SI,2020-08-14,
Congestión nasal,SI,2020-08-14,
Cefalea,NO,2020-08-17,224474.0
Tos,NO,2020-08-17,206025.0
Mialgia,NO,2020-08-17,207828.0
Fiebre,NO,2020-08-17,130095.0
Odinofagia,NO,2020-08-17,124690.0
Anosmia,NO,2020-08-17,70556.0
Ageusia,NO,2020-08-17,55913.0
Disnea,NO,2020-08-17,40736.0
Diarrea,NO,2020-08-17,38822.0
Dolor torácico,NO,2020-08-17,33700.0
Dolor abdominal,NO,2020-08-17,22961.0
Taquipnea,NO,2020-08-17,3788.0
Cianosis,NO,2020-08-17,327.0
Postración,NO,2020-08-17,
Congestión nasal,NO,2020-08-17,
Cefalea,SI,2020-08-17,12185.0
Tos,SI,2020-08-17,21347.0
Mialgia,SI,2020-08-17,15136.0
Fiebre,SI,2020-08-17,16245.0
Odinofagia,SI,2020-08-17,6128.0
Anosmia,SI,2020-08-17,2062.0
Ageusia,SI,2020-08-17,1788.0
Disnea,SI,2020-08-17,14834.0
Diarrea,SI,2020-08-17,3097.0
Dolor torácico,SI,2020-08-17,4056.0
Dolor abdominal,SI,2020-08-17,2399.0
Taquipnea,SI,2020-08-17,4383.0
Cianosis,SI,2020-08-17,715.0
Postración,SI,2020-08-17,
Congestión nasal,SI,2020-08-17,
Cefalea,NO,2020-08-21,227090.0
Tos,NO,2020-08-21,207780.0
Mialgia,NO,2020-08-21,209914.0
Fiebre,NO,2020-08-21,130762.0
Odinofagia,NO,2020-08-21,126299.0
Anosmia,NO,2020-08-21,71540.0
Ageusia,NO,2020-08-21,56656.0
Disnea,NO,2020-08-21,40757.0
Diarrea,NO,2020-08-21,39248.0
Dolor torácico,NO,2020-08-21,33814.0
Dolor abdominal,NO,2020-08-21,23266.0
Taquipnea,NO,2020-08-21,3740.0
Cianosis,NO,2020-08-21,322.0
Postración,NO,2020-08-21,
Congestión nasal,NO,2020-08-21,
Cefalea,SI,2020-08-21,13230.0
Tos,SI,2020-08-21,22732.0
Mialgia,SI,2020-08-21,16314.0
Fiebre,SI,2020-08-21,17289.0
Odinofagia,SI,2020-08-21,6667.0
Anosmia,SI,2020-08-21,2249.0
Ageusia,SI,2020-08-21,1946.0
Disnea,SI,2020-08-21,15514.0
Diarrea,SI,2020-08-21,3311.0
Dolor torácico,SI,2020-08-21,4346.0
Dolor abdominal,SI,2020-08-21,2562.0
Taquipnea,SI,2020-08-21,4535.0
Cianosis,SI,2020-08-21,734.0
Postración,SI,2020-08-21,
Congestión nasal,SI,2020-08-21,
Cefalea,NO,2020-08-24,229975.0
Tos,NO,2020-08-24,210025.0
Mialgia,NO,2020-08-24,212288.0
Fiebre,NO,2020-08-24,131873.0
Odinofagia,NO,2020-08-24,127920.0
Anosmia,NO,2020-08-24,72405.0
Ageusia,NO,2020-08-24,57332.0
Disnea,NO,2020-08-24,41079.0
Diarrea,NO,2020-08-24,39736.0
Dolor torácico,NO,2020-08-24,34133.0
Dolor abdominal,NO,2020-08-24,23545.0
Taquipnea,NO,2020-08-24,3765.0
Cianosis,NO,2020-08-24,325.0
Postración,NO,2020-08-24,
Congestión nasal,NO,2020-08-24,
Cefalea,SI,2020-08-24,13433.0
Tos,SI,2020-08-24,23101.0
Mialgia,SI,2020-08-24,16553.0
Fiebre,SI,2020-08-24,17544.0
Odinofagia,SI,2020-08-24,6777.0
Anosmia,SI,2020-08-24,2275.0
Ageusia,SI,2020-08-24,1977.0
Disnea,SI,2020-08-24,15737.0
Diarrea,SI,2020-08-24,3361.0
Dolor torácico,SI,2020-08-24,4407.0
Dolor abdominal,SI,2020-08-24,2615.0
Taquipnea,SI,2020-08-24,4589.0
Cianosis,SI,2020-08-24,745.0
Postración,SI,2020-08-24,
Congestión nasal,SI,2020-08-24,
Cefalea,NO,2020-08-28,233540.0
Tos,NO,2020-08-28,212910.0
Mialgia,NO,2020-08-28,215295.0
Fiebre,NO,2020-08-28,133361.0
Odinofagia,NO,2020-08-28,130035.0
Anosmia,NO,2020-08-28,73504.0
Ageusia,NO,2020-08-28,58218.0
Disnea,NO,2020-08-28,41436.0
Diarrea,NO,2020-08-28,40397.0
Dolor torácico,NO,2020-08-28,34473.0
Dolor abdominal,NO,2020-08-28,23955.0
Taquipnea,NO,2020-08-28,3783.0
Cianosis,NO,2020-08-28,331.0
Postración,NO,2020-08-28,
Congestión nasal,NO,2020-08-28,
Cefalea,SI,2020-08-28,13761.0
Tos,SI,2020-08-28,23599.0
Mialgia,SI,2020-08-28,16937.0
Fiebre,SI,2020-08-28,17901.0
Odinofagia,SI,2020-08-28,6917.0
Anosmia,SI,2020-08-28,2321.0
Ageusia,SI,2020-08-28,2024.0
Disnea,SI,2020-08-28,16032.0
Diarrea,SI,2020-08-28,3453.0
Dolor torácico,SI,2020-08-28,4499.0
Dolor abdominal,SI,2020-08-28,2683.0
Taquipnea,SI,2020-08-28,4664.0
Cianosis,SI,2020-08-28,758.0
Postración,SI,2020-08-28,
Congestión nasal,SI,2020-08-28,
Cefalea,NO,2020-08-31,236348.0
Tos,NO,2020-08-31,215208.0
Mialgia,NO,2020-08-31,217685.0
Fiebre,NO,2020-08-31,134473.0
Odinofagia,NO,2020-08-31,131683.0
Anosmia,NO,2020-08-31,74273.0
Ageusia,NO,2020-08-31,58843.0
Disnea,NO,2020-08-31,41734.0
Diarrea,NO,2020-08-31,40842.0
Dolor torácico,NO,2020-08-31,34758.0
Dolor abdominal,NO,2020-08-31,24227.0
Taquipnea,NO,2020-08-31,3804.0
Cianosis,NO,2020-08-31,331.0
Postración,NO,2020-08-31,
Congestión nasal,NO,2020-08-31,
Cefalea,SI,2020-08-31,14032.0
Tos,SI,2020-08-31,23993.0
Mialgia,SI,2020-08-31,17246.0
Fiebre,SI,2020-08-31,18162.0
Odinofagia,SI,2020-08-31,7055.0
Anosmia,SI,2020-08-31,2347.0
Ageusia,SI,2020-08-31,2053.0
Disnea,SI,2020-08-31,16237.0
Diarrea,SI,2020-08-31,3508.0
Dolor torácico,SI,2020-08-31,4563.0
Dolor abdominal,SI,2020-08-31,2733.0
Taquipnea,SI,2020-08-31,4719.0
Cianosis,SI,2020-08-31,767.0
Postración,SI,2020-08-31,
Congestión nasal,SI,2020-08-31,
Cefalea,NO,2020-09-04,240084.0
Tos,NO,2020-09-04,218116.0
Mialgia,NO,2020-09-04,220819.0
Fiebre,NO,2020-09-04,136051.0
Odinofagia,NO,2020-09-04,133840.0
Anosmia,NO,2020-09-04,75378.0
Ageusia,NO,2020-09-04,59734.0
Disnea,NO,2020-09-04,42101.0
Diarrea,NO,2020-09-04,41479.0
Dolor torácico,NO,2020-09-04,35137.0
Dolor abdominal,NO,2020-09-04,24667.0
Taquipnea,NO,2020-09-04,3800.0
Cianosis,NO,2020-09-04,332.0
Postración,NO,2020-09-04,
Congestión nasal,NO,2020-09-04,
Cefalea,SI,2020-09-04,14438.0
Tos,SI,2020-09-04,24646.0
Mialgia,SI,2020-09-04,17726.0
Fiebre,SI,2020-09-04,18578.0
Odinofagia,SI,2020-09-04,7267.0
Anosmia,SI,2020-09-04,2415.0
Ageusia,SI,2020-09-04,2119.0
Disnea,SI,2020-09-04,16605.0
Diarrea,SI,2020-09-04,3589.0
Dolor torácico,SI,2020-09-04,4675.0
Dolor abdominal,SI,2020-09-04,2796.0
Taquipnea,SI,2020-09-04,4821.0
Cianosis,SI,2020-09-04,782.0
Postración,SI,2020-09-04,
Congestión nasal,SI,2020-09-04,
Cefalea,NO,2020-09-07,243002.0
Tos,NO,2020-09-07,220450.0
Mialgia,NO,2020-09-07,223197.0
Fiebre,NO,2020-09-07,137201.0
Odinofagia,NO,2020-09-07,135534.0
Anosmia,NO,2020-09-07,76253.0
Ageusia,NO,2020-09-07,60394.0
Disnea,NO,2020-09-07,42348.0
Diarrea,NO,2020-09-07,41955.0
Dolor torácico,NO,2020-09-07,35426.0
Dolor abdominal,NO,2020-09-07,24978.0
Taquipnea,NO,2020-09-07,3810.0
Cianosis,NO,2020-09-07,328.0
Postración,NO,2020-09-07,
Congestión nasal,NO,2020-09-07,
Cefalea,SI,2020-09-07,14802.0
Tos,SI,2020-09-07,25203.0
Mialgia,SI,2020-09-07,18158.0
Fiebre,SI,2020-09-07,18946.0
Odinofagia,SI,2020-09-07,7451.0
Anosmia,SI,2020-09-07,2473.0
Ageusia,SI,2020-09-07,2171.0
Disnea,SI,2020-09-07,16920.0
Diarrea,SI,2020-09-07,3674.0
Dolor torácico,SI,2020-09-07,4782.0
Dolor abdominal,SI,2020-09-07,2855.0
Taquipnea,SI,2020-09-07,4887.0
Cianosis,SI,2020-09-07,793.0
Postración,SI,2020-09-07,
Congestión nasal,SI,2020-09-07,
Cefalea,NO,2020-09-11,246416.0
Tos,NO,2020-09-11,223054.0
Mialgia,NO,2020-09-11,225997.0
Fiebre,NO,2020-09-11,138532.0
